,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
18449,SOAD03527,Navaldia,Yes,,Earth,25.11,0.4,,,,0.31717,0.0,,14/04/2009,,,Low,Not Rated,18/06/2014,0.087,699.2,12.2,
18450,SOAD07053,Navaldia,Yes,Flood Risk Reduction,Earth,11.483,0.539,110492.0,1979.0,,0.37233,29.29619,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.0947,191.3,9.5,
18451,SOAD12247,Navaldia,Yes,Flood Risk Reduction,Earth,29.394,0.86,,1980.0,,0.0,37.28606,Uncontrolled,18/04/2018,5.0,,High,Not Rated,18/04/2023,0.1041,35.6,800.8,
18452,SOAD11347,Navaldia,Yes,Flood Risk Reduction,Earth,8.875,1.333,139487.0,1958.0,,0.30929,37.28606,Uncontrolled,08/02/2006,,5.07,Low,Not Rated,18/06/2014,0.0744,122.9,328.5,
18453,SOAD11271,Lyndrassia,Yes,Tailings,Earth,28.443,0.387,170000.0,1980.0,,0.27186,26.6329,Uncontrolled,25/11/2020,3.0,10.09,High,Satisfactory,21/12/2007,0.1027,251.4,125.1,
18457,SOAD17896,Lyndrassia,Yes,Flood Risk Reduction,Earth,15.579,0.367,170000.0,1975.0,,0.24625,37.28606,Controlled,07/04/2020,2.0,3.17,High,Satisfactory,05/05/2009,0.1007,132.5,259.1,
18460,SOAD02563,Navaldia,Yes,Flood Risk Reduction,Earth,11.511,1.242,153058.0,1975.0,,0.30338,37.28606,Uncontrolled,07/08/2019,2.0,1.54,Significant,Unsatisfactory,23/05/2022,0.1491,67.0,509.0,
18461,SOAD10936,Navaldia,Yes,Flood Risk Reduction,Earth,12.308,0.558,50840.0,1955.0,,0.32111,170.45056,Uncontrolled,14/09/2022,5.0,,High,Fair,25/08/2023,0.0835,626.3,661.3,
18462,SOAD20476,Navaldia,Yes,Flood Risk Reduction,Earth,12.393,0.773,126310.0,1962.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.082,12.7,19.0,
18463,SOAD16487,Navaldia,Yes,Flood Risk Reduction,Earth,11.893,0.658,74720.0,1964.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0726,14.4,15.5,
18464,SOAD05694,Navaldia,Yes,Flood Risk Reduction,Earth,14.026,0.587,167160.0,1971.0,,0.19306,39.94935,,,,,Low,Not Rated,18/06/2014,0.0635,33.2,18.3,
18465,SOAD11122,Lyndrassia,Yes,,Earth,20.352,0.567,,,,0.81755,7.98987,Uncontrolled,10/06/2020,3.0,28.03,High,Satisfactory,15/07/2014,0.1021,348.1,153.9,
18466,SOAD15732,Flumevale,Yes,Flood Risk Reduction,Earth,28.251,0.702,503592.0,1965.0,,0.33884,45.27593,Uncontrolled,20/04/2021,3.0,7.98,High,Fair,20/04/2021,0.1036,369.2,373.6,
18468,SOAD11804,Navaldia,Yes,Flood Risk Reduction,Earth,11.302,1.1,127300.0,1966.0,,0.3624799999999999,31.95948,,,,,Low,Not Rated,18/06/2014,0.1004,581.1,5.4,
18469,SOAD18916,Navaldia,Yes,Flood Risk Reduction,Earth,10.183,0.563,87660.0,1976.0,,0.25413,15.97974,Uncontrolled,19/01/2020,5.0,1.54,High,Fair,08/02/2021,0.0782,450.6,296.7,
18470,SOAD17083,Navaldia,Yes,Flood Risk Reduction,Earth,15.363,0.783,195200.0,1966.0,,0.26398,31.95948,,21/09/1977,,,Low,Not Rated,18/06/2014,0.1287,117.5,5.3,
18472,SOAD17743,Navaldia,Yes,Flood Risk Reduction,Earth,21.18,0.89,,1957.0,1982O,0.0,29.29619,Uncontrolled,16/04/2018,5.0,,High,Not Rated,16/04/2023,0.101,39.6,632.4,
18479,SOAD00624,Navaldia,Yes,Flood Risk Reduction,Earth,9.364,1.335,,1962.0,,0.36839,106.5316,Uncontrolled,04/05/2005,,8.29,Low,Not Rated,18/06/2014,0.1154,325.6,309.3,
18480,SOAD19377,Lyndrassia,Yes,Tailings,Earth,13.684,0.55,200000.0,1967.0,,1.14457,13.31645,Uncontrolled,11/01/2022,2.0,19.98,High,Satisfactory,21/12/2007,0.0797,323.6,245.3,
18481,SOAD02764,Navaldia,Yes,Flood Risk Reduction,Earth,12.189,0.625,123760.0,1963.0,,0.30929,69.24554,,,,,Low,Not Rated,18/06/2014,0.0657,650.0,8.0,
18482,SOAD02477,Navaldia,No,Tailings,Earth,36.554,0.25,,,,,,,,,4.88,Low,Not Available,,0.0996,15.8,157.7,
18483,SOAD13908,Navaldia,Yes,Flood Risk Reduction,Earth,21.697,0.523,177480.0,1970.0,,0.19503,39.94935,,,,,Low,Not Rated,18/06/2014,0.1158,29.1,15.4,
18484,SOAD13748,Navaldia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,15.425,0.76,,1976.0,,0.8668,29.29619,Uncontrolled,25/05/1976,,27.55,Low,Not Rated,18/06/2014,0.0855,205.0,132.7,
18486,SOAD04440,Navaldia,Yes,Flood Risk Reduction,Earth,15.28,0.7,101583.0,1966.0,,0.26989,31.95948,Uncontrolled,25/09/2019,2.0,,High,Unsatisfactory,23/05/2022,0.1405,422.2,916.5,
18487,SOAD04880,Navaldia,Yes,Flood Risk Reduction,Earth,18.626,0.772,577269.0,1979.0,,0.15366,29.29619,Uncontrolled,23/01/2020,5.0,3.12,High,Satisfactory,26/06/2020,0.0748,21.8,234.6,
18489,SOAD11062,Navaldia,Yes,Flood Risk Reduction,Earth,19.035,0.333,140680.0,1963.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0563,42.6,18.9,
18492,SOAD10285,Navaldia,Yes,Flood Risk Reduction,Earth,14.873,0.733,213650.0,1963.0,,0.26989,53.2658,Uncontrolled,05/10/1977,,,Low,Not Rated,18/06/2014,0.1186,343.4,21.7,
18493,SOAD15312,Navaldia,Yes,Flood Risk Reduction,Earth,15.7,0.657,206750.0,1981.0,,0.51023,55.92909,,,,,Low,Not Rated,18/06/2014,0.0921,151.7,6.7,
18496,SOAD15716,Navaldia,Yes,Flood Risk Reduction,Earth,16.692,0.648,198380.0,1979.0,,0.0,34.62277,,27/07/2023,5.0,,Significant,Not Rated,06/03/2023,0.1412,24.2,457.3,
18499,SOAD02407,Navaldia,Yes,Flood Risk Reduction,Earth,15.606,0.517,112240.0,1964.0,2017S,0.20094,26.6329,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.0946,26.6,16.6,
18500,SOAD04423,Navaldia,Yes,Flood Risk Reduction,Earth,7.424,1.993,128230.0,1966.0,,0.4334,29.29619,,,,,Low,Not Rated,18/06/2014,0.0727,471.3,10.4,
18501,SOAD01016,Lyndrassia,Yes,,Earth,18.059,0.533,0.0,1991.0,,0.97318,18.64303,Uncontrolled,02/09/2020,3.0,,Significant,Satisfactory,21/12/2007,0.107,381.3,448.3,
18502,SOAD11652,Flumevale,Yes,Flood Risk Reduction,Earth,13.116,0.638,,1960.0,,1.31005,103.86831,Uncontrolled,20/07/2020,3.0,3.15,Low,Satisfactory,18/08/2020,0.0571,638.9,777.7,
18503,SOAD18884,Navaldia,Yes,Other,Earth,11.822,0.9,,1987.0,,1.58979,26.6329,Uncontrolled,08/01/2001,,24.79,Low,Not Rated,18/06/2014,0.0703,708.3,343.3,
18505,SOAD06269,Navaldia,Yes,Flood Risk Reduction,Earth,7.028,0.89,52850.0,1969.0,,0.53978,18.64303,Uncontrolled,08/12/2017,5.0,,High,Not Rated,08/12/2022,0.108,113.7,811.5,
18506,SOAD18143,Flumevale,Yes,Other,Earth,57.404,0.333,734326.0,1923.0,,0.38612,,,17/02/2022,1.0,8.22,High,Satisfactory,01/09/2017,0.0895,114.0,205.7,
18507,SOAD00958,Navaldia,Yes,Debris Control,Earth,7.576,0.0,,,,0.33884,0.0,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.0669,495.0,5.5,
18508,SOAD06703,Navaldia,Yes,Flood Risk Reduction,Earth,13.182,0.492,114637.0,1959.0,,0.17336,29.29619,Uncontrolled,13/11/2018,5.0,4.71,High,Fair,16/10/2019,0.0826,20.8,531.9,
18509,SOAD20291,Navaldia,Yes,Flood Risk Reduction,Earth,14.609,0.383,124990.0,1977.0,,0.17336,26.6329,,01/05/2013,,,Low,Not Rated,18/06/2014,0.1115,36.3,14.1,
18510,SOAD16391,Lyndrassia,Yes,Tailings,Earth,17.108,0.367,100000.0,1969.0,,0.45901,23.96961,Uncontrolled,12/04/2022,3.0,10.89,High,Satisfactory,21/12/2007,0.0969,304.3,386.6,
18513,SOAD11318,Navaldia,Yes,Flood Risk Reduction,Earth,17.874,0.45,146430.0,1961.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0696,28.3,13.3,
18514,SOAD03892,Navaldia,Yes,Flood Risk Reduction,Earth,12.322,0.833,134260.0,1962.0,,0.17336,37.28606,Uncontrolled,05/02/2018,5.0,12.53,High,Not Rated,05/02/2023,0.0862,27.9,274.9,
18515,SOAD18055,Navaldia,Yes,,Earth,17.033,1.25,147500.0,,,0.0,39.94935,Uncontrolled,,,,High,Not Rated,31/07/2023,0.0917,8.6,631.6,
18516,SOAD15653,Navaldia,Yes,Flood Risk Reduction,Earth,11.995,0.525,84450.0,1970.0,,0.1812399999999999,29.29619,Uncontrolled,29/01/2019,5.0,,High,Fair,20/09/2019,0.0777,22.4,831.6,
18517,SOAD11864,Navaldia,Yes,Tailings,Earth,11.043,1.5,,,,0.22261,39.94935,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.0514,28.2,14.7,
18520,SOAD17331,Lyndrassia,Yes,Tailings,Other,29.273,0.833,340000.0,1980.0,,0.48462,0.0,Uncontrolled,01/12/2022,3.0,1.58,High,Satisfactory,21/12/2007,0.078,650.8,277.3,
18521,SOAD05725,Navaldia,Yes,Flood Risk Reduction,Earth,14.54,0.571,111361.0,1955.0,,0.22458,29.29619,Uncontrolled,07/02/2018,5.0,20.1,High,Not Rated,07/02/2023,0.1032,40.1,158.3,
18522,SOAD09442,Navaldia,Yes,Flood Risk Reduction,Earth,11.294,0.597,101481.0,1960.0,,0.33884,29.29619,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.118,283.4,11.9,
18524,SOAD17773,Navaldia,Yes,Flood Risk Reduction,Earth,13.544,1.067,128520.0,1963.0,,0.33096,45.27593,Uncontrolled,,,21.09,Low,Not Rated,18/06/2014,0.1019,297.2,250.8,
18528,SOAD20700,Navaldia,Yes,Flood Risk Reduction,Earth,22.008,0.4,219100.0,1961.0,,0.22261,39.94935,Uncontrolled,15/11/2016,5.0,1.59,High,Not Rated,15/11/2021,0.075,19.0,655.7,
18531,SOAD04393,Navaldia,Yes,Flood Risk Reduction,Earth,10.137,0.433,60000.0,1953.0,,0.0,23.96961,Uncontrolled,30/07/2018,5.0,2.14,High,Not Rated,30/07/2023,0.1044,18.2,360.9,
18532,SOAD11262,Navaldia,Yes,Flood Risk Reduction,Earth,18.414,0.49,186100.0,1968.0,,0.0,39.94935,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.0879,43.5,12.1,
18535,SOAD02254,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.991,0.867,10755.0,1906.0,1976,1.36718,2383.64455,Uncontrolled,16/09/2016,6.0,8.22,Low,Fair,06/10/2020,0.0472,382.8,318.1,
18536,SOAD07041,Navaldia,Yes,Flood Risk Reduction,Earth,11.795,0.867,135200.0,1968.0,,0.18912,23.96961,,,,,Low,Not Rated,18/06/2014,0.0985,33.6,16.8,
18538,SOAD11585,Navaldia,Yes,,Earth,18.633,0.437,,2010.0,,0.0,0.0,Uncontrolled,15/09/2010,,,Low,Not Rated,15/09/2015,0.083,14.3,21.7,
18543,SOAD05892,Navaldia,No,Other,Earth,13.777,0.0,,1990.0,,0.5713,45.27593,Uncontrolled,21/03/2011,,,Significant,Not Rated,17/11/2014,0.1671,134.8,346.3,
18544,SOAD19283,Navaldia,Yes,Flood Risk Reduction,Earth,20.981,0.458,188790.0,1966.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1061,43.2,14.6,
18545,SOAD00223,Navaldia,Yes,Flood Risk Reduction,Earth,13.899,0.928,90200.0,1964.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1076,17.3,9.6,
18546,SOAD08148,Navaldia,Yes,Flood Risk Reduction,Earth,14.984,0.7,156095.0,1972.0,,0.19897,42.61264,,,,,Low,Not Rated,18/06/2014,0.0963,36.2,19.2,
18548,SOAD07801,Navaldia,Yes,Flood Risk Reduction,Earth,8.385,0.795,81189.0,1960.0,,0.43537,26.6329,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.0666,690.0,17.5,
18551,SOAD08527,Navaldia,Yes,Flood Risk Reduction,Earth,8.635,0.613,85800.0,1962.0,,0.38612,23.96961,Uncontrolled,22/03/2018,5.0,,High,Not Rated,22/03/2023,0.1196,255.5,647.6,
18553,SOAD13757,Lyndrassia,Yes,Tailings,Earth,25.49,0.683,850000.0,1968.0,,0.54372,2.66329,Uncontrolled,25/05/2021,2.0,15.01,High,Satisfactory,21/12/2007,0.0882,344.3,101.8,
18557,SOAD01902,Flumevale,Yes,Flood Risk Reduction,Earth,14.599,0.602,,1964.0,,1.15048,61.25567,Uncontrolled,10/05/2022,3.0,3.35,High,Satisfactory,10/05/2022,0.0863,633.8,160.8,
18558,SOAD18631,Navaldia,Yes,Flood Risk Reduction,Earth,14.346,0.477,113966.0,1960.0,,0.19306,37.28606,Uncontrolled,14/11/2018,5.0,13.89,High,Satisfactory,11/10/2019,0.0406,41.3,408.0,
18561,SOAD06497,Flumevale,No,Other,Earth,27.061,0.3,,,,,,,,,8.45,High,Not Available,,0.1246,649.6,365.3,
18563,SOAD15725,Navaldia,Yes,Flood Risk Reduction,Earth,9.504,1.323,96360.0,1973.0,,0.3742999999999999,31.95948,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.1161,100.7,21.2,
18564,SOAD07683,Navaldia,Yes,Flood Risk Reduction,Earth,22.768,0.305,180310.0,1968.0,,0.1753299999999999,39.94935,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.0922,30.1,14.9,
18565,SOAD09087,Navaldia,Yes,Flood Risk Reduction,Earth,18.179,0.548,144200.0,1963.0,,0.2758,34.62277,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.0995,495.3,13.8,
18566,SOAD01450,Lyndrassia,Yes,,Earth,25.935,0.267,,2012.0,,0.75845,13.31645,Uncontrolled,05/04/2022,2.0,3.7,High,Satisfactory,03/05/2012,0.092,670.1,823.7,
18567,SOAD15669,Navaldia,Yes,Flood Risk Reduction,Earth,20.374,0.35,137000.0,1958.0,,0.2364,29.29619,Uncontrolled,10/08/2022,5.0,3.31,High,Fair,25/08/2023,0.0657,38.3,578.8,
18568,SOAD20565,Navaldia,Yes,Flood Risk Reduction,Earth,14.027,0.85,111740.0,1969.0,,0.38415,26.6329,,,,,Low,Not Rated,18/06/2014,0.0968,469.2,15.8,
18569,SOAD11012,Lyndrassia,No,Fish and Wildlife Pond,Earth,3.523,0.1,3870.0,1935.0,,2.91954,3406.34791,,03/10/2016,5.0,,Low,Poor,03/10/2016,0.0737,532.7,13.0,
18570,SOAD02716,Navaldia,Yes,Flood Risk Reduction,Earth,16.875,0.542,147750.0,1963.0,,0.24625,69.24554,,04/05/2010,,,Low,Not Rated,18/06/2014,0.1207,282.3,11.9,
18571,SOAD19582,Navaldia,Yes,Flood Risk Reduction,Earth,16.347,0.617,178830.0,1975.0,,0.2955,26.6329,Uncontrolled,26/06/2018,5.0,3.28,High,Not Rated,26/06/2023,0.07,119.9,508.0,
18572,SOAD09501,Navaldia,Yes,,Earth,13.293,0.217,,2007.0,,0.85498,135.82779,Uncontrolled,26/04/2011,,,Low,Not Rated,26/04/2016,0.0905,633.3,11.7,
18573,SOAD02998,Navaldia,Yes,Flood Risk Reduction,Earth,13.495,0.62,141140.0,1964.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1187,37.0,11.3,
18575,SOAD08950,Navaldia,Yes,Flood Risk Reduction,Earth,16.389,0.433,67306.0,1955.0,,0.24625,31.95948,,,,,Low,Not Rated,18/06/2014,0.07,475.0,11.2,
18576,SOAD10323,Navaldia,Yes,Flood Risk Reduction,Earth,18.068,0.637,148670.0,1963.0,,0.22261,39.94935,Uncontrolled,28/02/2019,5.0,,High,Fair,01/11/2019,0.0616,26.5,599.3,
18578,SOAD04346,Flumevale,Yes,,,5.397,,,2013.0,2013,0.82543,,,,0.0,7.74,Low,Fair,03/10/2022,0.0763,251.9,320.8,
18580,SOAD06321,Lyndrassia,No,,,5.112,,0.0,1913.0,,,,,,0.0,0.0,Low,Not Available,,0.1009,18.6,771.8,
18581,SOAD14986,Navaldia,Yes,,Earth,23.76,0.939,,2012.0,,0.67571,26.6329,Uncontrolled,03/12/2015,,,Low,Not Rated,04/12/2020,0.0756,134.7,20.8,
18582,SOAD04958,Navaldia,Yes,Flood Risk Reduction,Earth,9.334,0.8,115112.0,1975.0,,0.37233,29.29619,Uncontrolled,,,1.58,Low,Not Rated,18/06/2014,0.0727,509.5,832.9,
18583,SOAD06499,Navaldia,Yes,Flood Risk Reduction,Earth,10.139,1.113,101285.0,1975.0,,0.28368,26.6329,Uncontrolled,02/03/2021,2.0,1.56,Significant,Fair,09/01/2018,0.137,502.6,885.7,
18586,SOAD08387,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.188,1.633,,1899.0,,2.05668,7.98987,,14/09/2012,6.0,55.35,Low,Satisfactory,15/10/2020,0.0408,241.6,121.2,
18587,SOAD09397,Navaldia,Yes,Flood Risk Reduction,Earth,14.728,0.557,92573.0,1956.0,,0.0,0.0,,21/09/1977,,,Low,Not Rated,18/06/2014,0.1115,18.5,12.1,
18588,SOAD05987,Lyndrassia,Yes,,Earth,2.695,,0.0,1930.0,,,0.0,,,0.0,,Significant,,,0.1405,341.2,319.4,
18589,SOAD03333,Navaldia,Yes,Flood Risk Reduction,Earth,12.096,0.493,85680.0,1975.0,,0.0,0.0,,,,23.94,Low,Not Rated,18/06/2014,0.0762,9.7,248.7,
18590,SOAD10410,Navaldia,Yes,Other,Earth,40.142,0.593,,,,0.4944699999999999,2.66329,,20/04/2020,1.0,,High,Satisfactory,,0.0855,597.3,771.0,
18592,SOAD09646,Navaldia,Yes,Flood Risk Reduction,Earth,13.233,0.4,177810.0,1975.0,,0.43143,34.62277,Uncontrolled,06/04/2021,5.0,,Significant,Fair,27/09/2021,0.1328,152.7,164.8,
18595,SOAD19660,Navaldia,Yes,Flood Risk Reduction,Earth,13.912,1.12,236606.0,1959.0,,0.25216,61.25567,Uncontrolled,24/01/1980,,6.19,Low,Not Rated,18/06/2014,0.0702,541.3,324.8,
18597,SOAD00689,Navaldia,Yes,Flood Risk Reduction,Earth,13.783,0.833,156230.0,1962.0,2009H,0.20488,23.96961,Uncontrolled,21/06/2022,5.0,,High,Satisfactory,31/10/2022,0.0491,11.5,874.1,
18599,SOAD08158,Navaldia,Yes,Flood Risk Reduction,Earth,11.375,1.533,,1952.0,2007O,0.2501899999999999,37.28606,Uncontrolled,21/06/2023,5.0,8.42,High,Not Rated,09/05/2022,0.0967,276.9,187.9,
18600,SOAD11388,Navaldia,Yes,Flood Risk Reduction,Earth,16.457,0.617,155490.0,1964.0,,0.28762,42.61264,,,,,Low,Not Rated,18/06/2014,0.1114,572.8,17.6,
18601,SOAD04579,Navaldia,Yes,Flood Risk Reduction,Earth,12.063,1.133,131930.0,1965.0,,0.48856,23.96961,Uncontrolled,17/06/2022,5.0,1.64,High,Fair,08/12/2022,0.0818,534.2,719.3,
18604,SOAD10137,Navaldia,Yes,,,10.85,,,,,,,,02/08/2022,,,High,,,0.1118,482.5,742.8,
18606,SOAD19936,Flumevale,Yes,Flood Risk Reduction,Earth,11.641,0.367,65057.0,1978.0,,1.07168,90.55186,,08/09/2022,3.0,7.77,High,Satisfactory,08/09/2022,0.0868,217.0,454.1,
18610,SOAD13992,Navaldia,Yes,Flood Risk Reduction,Earth,18.274,0.433,191144.0,1958.0,,0.3742999999999999,50.60251,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.104,468.4,18.4,
18611,SOAD14775,Lyndrassia,Yes,Other,Earth,7.321,0.267,,1976.0,,1.16821,5.32658,,15/07/2014,,58.31,High,Satisfactory,10/09/2015,0.0973,248.7,182.7,
18612,SOAD01463,Navaldia,Yes,Flood Risk Reduction,Earth,12.16,0.89,160980.0,1971.0,,0.31323,34.62277,Uncontrolled,16/01/2019,5.0,,High,Fair,31/08/2015,0.0639,461.5,761.8,
18614,SOAD07505,Navaldia,Yes,Flood Risk Reduction,Earth,15.802,0.5,162002.0,1958.0,1992S,0.22655,29.29619,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.1085,12.1,16.3,
18615,SOAD01524,Navaldia,Yes,Flood Risk Reduction,Earth,19.191,0.478,207850.0,1978.0,,0.1871499999999999,34.62277,Uncontrolled,14/11/2017,5.0,,High,Not Rated,14/11/2022,0.0964,44.7,648.7,
18616,SOAD02925,Navaldia,Yes,Flood Risk Reduction,Earth,22.318,0.343,,1963.0,,0.57327,23.96961,,20/11/2020,1.0,,High,Fair,,0.103,390.9,924.1,
18618,SOAD03247,Navaldia,Yes,Flood Risk Reduction,Earth,14.75,0.546,147490.0,1965.0,,0.23837,47.93922,,,,,Low,Not Rated,18/06/2014,0.0748,13.7,5.2,
18619,SOAD12874,Flumevale,Yes,Flood Risk Reduction,Earth,26.875,0.498,2631.0,1984.0,,1.05592,79.89869999999999,Uncontrolled,09/06/2021,3.0,14.53,Low,Not Rated,,0.1246,442.0,228.3,
18620,SOAD15412,Navaldia,Yes,Flood Risk Reduction,Earth,15.727,0.767,128015.0,1970.0,,0.29747,21.30632,Uncontrolled,11/07/2018,5.0,,Significant,Not Rated,11/07/2023,0.17,303.2,82.9,
18622,SOAD09471,Lyndrassia,Yes,Flood Risk Reduction,Earth,20.215,0.3,35000.0,1977.0,,0.1812399999999999,39.94935,Uncontrolled,27/11/2022,3.0,11.5,High,Satisfactory,19/12/2007,0.0713,30.8,327.5,
18623,SOAD07471,Navaldia,Yes,Flood Risk Reduction,Earth,20.427,0.553,200370.0,1962.0,,0.23246,34.62277,,,,,Low,Not Rated,18/06/2014,0.0854,26.0,5.2,
18627,SOAD16944,Navaldia,Yes,Flood Risk Reduction,Earth,13.236,0.588,129930.0,1965.0,1999S,0.5122,34.62277,Uncontrolled,27/01/2016,5.0,4.81,High,Not Rated,27/01/2021,0.0755,444.4,362.6,
18628,SOAD19643,Navaldia,Yes,Flood Risk Reduction,Earth,15.196,0.667,154130.0,1965.0,,0.2364,37.28606,,,,,Low,Not Rated,18/06/2014,0.0826,31.6,13.7,
18629,SOAD14006,Navaldia,Yes,Flood Risk Reduction,Earth,13.948,0.86,169550.0,1963.0,,0.33884,37.28606,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.0766,327.5,9.5,
18630,SOAD10455,Navaldia,Yes,Flood Risk Reduction,Earth,8.373,0.483,62320.0,1969.0,,0.41764,29.29619,Uncontrolled,16/01/2019,5.0,,High,Fair,31/08/2015,0.0775,360.4,479.1,
18631,SOAD18193,Navaldia,Yes,Flood Risk Reduction,Earth,9.901,1.29,82830.0,1966.0,,0.47674,29.29619,,,,,Low,Not Rated,18/06/2014,0.0678,687.5,5.3,
18632,SOAD08179,Navaldia,Yes,,Earth,5.248,5.233,,1965.0,2013S,0.33687,202.41004,,03/11/2015,5.0,,High,Not Rated,03/11/2020,0.11,530.6,647.6,
18636,SOAD02832,Navaldia,Yes,Flood Risk Reduction,Earth,19.163,0.55,,1967.0,,0.1812399999999999,50.60251,Uncontrolled,28/11/2017,5.0,,High,Not Rated,28/11/2022,0.1283,36.0,607.7,
18637,SOAD15193,Navaldia,Yes,Flood Risk Reduction,Earth,19.14,0.733,440561.0,1980.0,,0.1379,34.62277,Uncontrolled,21/01/2020,5.0,4.94,High,Satisfactory,26/06/2020,0.0417,44.1,527.4,
18638,SOAD03680,Navaldia,Yes,Flood Risk Reduction,Earth,16.855,0.633,166910.0,1970.0,,0.15563,42.61264,,06/04/1972,,,Low,Not Rated,18/06/2014,0.1041,17.8,8.2,
18639,SOAD03620,Navaldia,Yes,Flood Risk Reduction,Earth,20.251,0.652,199930.0,1968.0,,0.22655,42.61264,,,,,Low,Not Rated,18/06/2014,0.0645,36.6,5.7,
18640,SOAD02313,Navaldia,Yes,Flood Risk Reduction,Earth,19.107,0.365,146050.0,1968.0,,0.38809,34.62277,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.1098,517.7,19.0,
18641,SOAD18266,Navaldia,Yes,Flood Risk Reduction,Earth,9.57,0.833,100000.0,1958.0,,0.12214,39.94935,Uncontrolled,09/01/1980,,3.19,Low,Not Rated,18/06/2014,0.1234,17.4,202.7,
18642,SOAD19892,Navaldia,Yes,Flood Risk Reduction,Earth,15.01,0.393,110170.0,1966.0,,0.12411,484.71878,Uncontrolled,06/07/2021,5.0,,Significant,Fair,23/08/2021,0.118,28.4,35.5,
18647,SOAD00902,Lyndrassia,Yes,,Earth,3.371,,0.0,1930.0,,,0.0,,,0.0,,Significant,,,0.1011,409.3,168.6,
18648,SOAD06015,Navaldia,Yes,Flood Risk Reduction,Earth,11.909,0.605,116566.0,1957.0,,0.32308,31.95948,Uncontrolled,30/04/2018,5.0,,High,Not Rated,30/04/2023,0.0532,579.5,478.8,
18649,SOAD20519,Navaldia,Yes,Flood Risk Reduction,Earth,19.352,0.378,,1988.0,,0.7170799999999999,13.31645,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.1047,361.4,23.2,
18651,SOAD06824,Navaldia,Yes,Flood Risk Reduction,Earth,12.385,0.857,107515.0,1972.0,,0.24231,21.30632,,,,,Low,Not Rated,18/06/2014,0.0807,40.5,15.7,
18652,SOAD18744,Navaldia,Yes,Flood Risk Reduction,Earth,16.721,0.693,173830.0,1968.0,,0.27777,47.93922,,,,,Low,Not Rated,18/06/2014,0.098,362.9,17.5,
18653,SOAD19160,Navaldia,Yes,Flood Risk Reduction,Earth,15.574,0.76,196870.0,1965.0,,0.25413,39.94935,,,,,Low,Not Rated,18/06/2014,0.0694,194.2,20.0,
18658,SOAD20130,Navaldia,Yes,Flood Risk Reduction,Earth,13.382,0.333,82684.0,1975.0,,0.21867,15.97974,Uncontrolled,23/03/2020,5.0,6.74,High,Satisfactory,10/02/2021,0.0586,16.0,409.5,
18660,SOAD07063,Navaldia,Yes,Flood Risk Reduction,Earth,11.342,0.586,120920.0,1971.0,,0.22064,39.94935,Uncontrolled,15/11/2017,5.0,,Significant,Not Rated,15/11/2022,0.1166,38.1,86.3,
18662,SOAD04305,Navaldia,Yes,Flood Risk Reduction,Earth,8.809,0.52,63020.0,1966.0,2005O;2009H,0.48462,18.64303,Uncontrolled,08/10/2020,5.0,0.0,High,Satisfactory,18/06/2014,0.0787,455.2,682.4,
18663,SOAD09377,Navaldia,Yes,Flood Risk Reduction,Earth,35.266,0.437,,1975.0,,0.03349,47.93922,,20/01/2021,1.0,,High,Fair,,0.1198,40.8,516.9,
18665,SOAD19614,Lyndrassia,Yes,Tailings,Earth,30.611,0.167,27000.0,2001.0,2000,0.20488,0.0,Uncontrolled,07/09/2022,2.0,0.0,High,Satisfactory,04/03/2016,0.0855,30.5,541.9,
